code,created_t,product_name,quantity,product_quantity,serving_size,serving_quantity,brands,categories,labels,emb_codes,ingredients_text,ingredients_tags,nutriscore_grade,nutriscore_score,categories_tags,labels_tags,countries_tags,no_nutrition_data,added-sugars_100g,alcohol_100g,alpha-linolenic-acid_100g,biotin_100g,caffeine_100g,calcium_100g,carbohydrates-total_100g,carbohydrates_100g,cholesterol_100g,choline_100g,chromium_100g,copper_100g,docosahexaenoic-acid_100g,eicosapentaenoic-acid_100g,energy-kcal_100g,energy-kj_100g,energy_100g,fat_100g,fiber_100g,fructose_100g,fruits-vegetables-legumes-estimate-from-ingredients_100g,fruits-vegetables-legumes_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fruits-vegetables-nuts_100g,glucose_100g,glycemic-index_100g,iodine_100g,iron_100g,magnesium_100g,maltose_100g,manganese_100g,monounsaturated-fat_100g,nova-group_100g,nutrition-score-fr_100g,omega-3-fat_100g,omega-6-fat_100g,pantothenic-acid_100g,phosphorus_100g,polyols_100g,polyunsaturated-fat_100g,potassium_100g,proteins_100g,salt_100g,saturated-fat_100g,selenium_100g,sodium_100g,starch_100g,sucrose_100g,sugars_100g,taurine_100g,trans-fat_100g,vitamin-a_100g,vitamin-b12_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-b6_100g,vitamin-b9_100g,vitamin-c_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-pp_100g,zinc_100g
00000002,1760861583,,,,,,,,,,,,,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000003,1752485388,,,,,,,,,,,,,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000004,1768903196,,,,,,,,,,,,,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000005,1767072228,,,,,,,,,,,,,,,,en:france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000006,1760212975,,,,,,,,,,,,,,,,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000006666,1709219541,6666,1pcs,0,,,,,,,,,unknown,,,,"en:france,en:germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000007,1678803019,granola Bio le Chocolaté,450g,450,25 gram,25,Mg ricarica,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Aliments à base de plantes séchées, Fruits secs",en:made-in-france,,HONIG stillende Frauen nicht geeignet. D bestrahlung vermeiden und be trocken lagern. X000V0XH07,"es:honig-stillende-frauen-nicht-geeignet,es:d-bestrahlung-vermeiden-und-be-trocken-lagern,es:x000v0xh07",c,4,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:dried-products,en:fruits-based-foods,en:dried-plant-based-foods,en:dried-fruits",en:made-in-france,"en:germany,en:spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000008,1609862762,,700ml,700,30 g,30,Zuegg,Cornish clotted cream shortbread,"Halal, No added sugar, No lactose, en:no-gluten",,"Sojaproteinisolat, Weizen - protein, Kaffee-Extrakt (6 %), Reisprotein, Erbsenprotein - isolat, Kakaopulver stark ent - ölt, Sonnenblumenprotein, Mandelprotein, Aroma, Sü - Bungsmittel (Sucralose).","en:soy-protein-isolate,en:protein,en:plant-protein,en:soy-protein,en:wheat-protein,en:coffee,en:rice-protein,en:pea-protein,de:isolat,de:kakaopulver-stark-ent,de:ölt,en:sunflower-protein,en:almond-protein,en:flavouring,de:sü,de:bungsmittel,en:e955",c,6,en:cornish-clotted-cream-shortbread,"en:no-gluten,en:halal,en:no-added-sugar,en:no-lactose","en:germany,en:united-states",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000009,1677761447,Protein Plant Powered Wrap,1pcs,0,0g,0,Mission,"Sandwiches, Wraps, Protein",,,,,unknown,,"en:sandwiches,en:wraps,en:protein",,"en:germany,en:world",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000010,1476947941,xxx,700ml,700,"17,6g",17.6,xxx,"Beverages and beverages preparations, Beverages, Snacks, Desserts, Sweet snacks, Biscuits and cakes, Biscuits and crackers, Biscuits, Cakes, Pound Cake, Madeleines, Plain madeleines",xxx,,"Farine de blé 33%, sucre, huile de colza, œufs de poules élevées en plein air 18%, sirop de glucose-fructose, Un stabilisant : glycérol, poudres à lever : carbonates d'ammonium-carbonates de sodium - citrates de sodium (blé), sel, gluten de blé, lait écrémé en poudre, fibres végétales, arôme naturel.","en:wheat-flour,en:cereal,en:flour,en:wheat,en:cereal-flour,en:sugar,en:added-sugar,en:disaccharide,en:colza-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:rapeseed-oil,en:free-range-chicken-eggs,en:egg,en:chicken-egg,en:free-range-eggs,en:glucose-fructose-syrup,en:monosaccharide,en:fructose,en:glucose,en:stabiliser,en:raising-agent,en:e331,en:salt,en:wheat-gluten,en:gluten,en:skimmed-milk-powder,en:dairy,en:milk-powder,en:vegetable-fiber,en:fiber,en:natural-flavouring,en:flavouring,en:e422,fr:carbonates-d-ammonium-carbonates-de-sodium",unknown,,"en:beverages-and-beverages-preparations,en:beverages,en:snacks,en:desserts,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits-and-crackers,en:biscuits,en:cakes,en:pound-cake,en:madeleines,en:plain-madeleines",it:xxx,en:germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
